country_code,year,refugees_from,idps_from,asylum_seekers_from
IRN,2015,84950,0,57081
IRN,2016,94102,0,87535
IRN,2017,118639,0,75079
IRN,2018,129941,0,87367
IRN,2019,128998,0,86093
IRN,2020,135018,0,77229
IRN,2021,142994,0,68940
IRN,2022,122764,0,69237
IRN,2023,151757,0,63959
IRN,2024,158171,0,61176
IRN,2025,157912,0,49263
IRQ,2015,264086,4403287,237168
IRQ,2016,316056,3604285,278367
IRQ,2017,362536,2615988,272627
IRQ,2018,372332,1802832,256716
IRQ,2019,336274,1414632,302731
IRQ,2020,333200,1224108,272567
IRQ,2021,343899,1186556,254454
IRQ,2022,287446,1168619,228961
IRQ,2023,329032,1123663,192202
IRQ,2024,305504,1031475,151623
IRQ,2025,270671,997334,96887
ISR,2015,787,0,379
ISR,2016,487,0,548
ISR,2017,469,0,691
ISR,2018,492,0,683
ISR,2019,452,0,690
ISR,2020,373,0,663
ISR,2021,453,0,807
ISR,2022,902,0,813
ISR,2023,855,0,1232
ISR,2024,1307,0,1659
ISR,2025,1265,0,897
JOR,2015,1836,0,1829
JOR,2016,1919,0,2433
JOR,2017,2119,0,3467
JOR,2018,2430,0,4119
JOR,2019,2308,0,4722
JOR,2020,2486,0,4984
JOR,2021,2981,0,5795
JOR,2022,3550,0,5667
JOR,2023,3978,0,8207
JOR,2024,4990,0,14273
JOR,2025,5471,0,10736
LBY,2015,6077,434869,6042
LBY,2016,8831,174510,6521
LBY,2017,11205,180937,6842
LBY,2018,13868,170491,6786
LBY,2019,16033,355672,5986
LBY,2020,17523,278177,5440
LBY,2021,19090,179047,5717
LBY,2022,17811,161613,6076
LBY,2023,17958,125802,6054
LBY,2024,17235,32791,6358
LBY,2025,17161,32791,3802
MAR,2020,0,0,5
MAR,2023,0,0,5
MAR,2024,0,0,5
MAR,2025,0,0,9
OMN,2015,36,0,16
OMN,2016,35,0,24
OMN,2017,39,0,22
OMN,2018,42,0,28
OMN,2019,42,0,59
OMN,2020,47,0,70
OMN,2021,53,0,71
OMN,2022,59,0,99
OMN,2023,95,0,82
OMN,2024,118,0,91
OMN,2025,133,0,43
QAT,2015,21,0,12
QAT,2016,25,0,23
QAT,2017,31,0,39
QAT,2018,30,0,33
QAT,2019,36,0,36
QAT,2020,33,0,38
QAT,2021,47,0,35
QAT,2022,40,0,128
QAT,2023,58,0,58
QAT,2024,65,0,55
QAT,2025,73,0,28
SAU,2015,686,0,561
SAU,2016,937,0,987
SAU,2017,1219,0,1247
SAU,2018,1492,0,1436
SAU,2019,1721,0,1410
SAU,2020,2003,0,1249
SAU,2021,2167,0,1541
SAU,2022,1942,0,2537
SAU,2023,2090,0,1640
