country_code,year,debt_to_gdp,current_account_pct_gdp,reserves_months_imports,gdp_growth,inflation,currency_depreciation_pct,political_stability,government_effectiveness,rule_of_law,regulatory_quality,control_of_corruption
AFG,2010,,69.04598764899113,74.40928609106592,12.402374058341877,29.88909464289738,,90.33186330959855,85.27754463838703,83.25733013677888,77.10987587625603,98.99610074129755
ARE,2010,,,,79.19915989441644,21.445539976892942,,8.84596863015399,13.89918565998311,22.971090088342898,9.760612925907706,14.346722893229554
BGD,2010,,58.45959626900053,90.65867578259245,58.421667717832435,68.50604295325027,,63.842856692116456,62.291668241046324,51.946623392391565,58.7363054926031,78.1223920061747
BHR,2010,0.0,56.440628051833144,92.15731932797607,64.89995522358032,28.482525003103625,,46.626470343516786,26.673895234163787,22.28737392247268,5.371274898818544,39.37155975068698
BTN,2010,54.37346894098876,98.57350829180847,70.99448211338,25.12645747367111,61.4275603758934,,10.379953685785745,25.683042655613264,20.25286216290599,59.67845387772868,18.90375764363676
DJI,2010,,53.343857247257006,86.53832667548691,,41.39042604005918,,19.93341463720674,59.99400869813282,49.893171009786855,56.44749709986263,61.77023090164915
DZA,2010,,48.70095986663189,4.702225304566729,62.461998503967564,41.137118252048055,,60.77047906790701,56.25992154393747,49.518337986743376,62.85816042669376,57.32561274454381
EGY,2010,,65.97664725389075,84.35558228621136,60.64421519342975,88.88212251168068,,53.04856755220156,52.698293907717385,34.35343546452386,35.378082074459336,64.469569398628
ERI,2010,,,,76.10347834632914,,,50.37608218878701,73.62489939713855,72.91103590296851,90.93628957472431,68.15941778147662
ETH,2010,,66.10350762710952,94.96864368313027,21.88773308707959,68.65268809160658,,67.06614716975662,52.556027056029656,51.60901514887224,55.12963584544869,67.48968174853853
IND,2010,56.046819971823616,68.29186037892528,81.55025171538986,43.10504849784193,93.58383820847993,,51.62529902685085,41.83666523240675,23.473043170115744,41.373563893530694,56.33422805990661
IRN,2010,,,,57.237766103489385,81.24834205504256,,65.81678170908904,57.183360168634955,59.90793713076101,76.8905314798413,82.57247022803924
