reporter_code,flow,year,hs2_code,value_usd
DZA,M,2024,01,130200131.0
DZA,M,2024,02,507326477.0
DZA,M,2024,03,144450371.0
DZA,M,2024,04,1563334268.0
DZA,M,2024,05,361824.0
DZA,M,2024,06,21400797.0
DZA,M,2024,07,689474716.0
DZA,M,2024,08,426126616.0
DZA,M,2024,09,557768094.0
DZA,M,2024,10,4594832435.0
DZA,M,2024,11,59453477.0
DZA,M,2024,12,1007677935.0
DZA,M,2024,13,32977581.0
DZA,M,2024,14,4728092.0
DZA,M,2024,15,1107831037.0
DZA,M,2024,16,106886.0
DZA,M,2024,17,1229184253.0
DZA,M,2024,18,118867891.0
DZA,M,2024,19,141433851.0
DZA,M,2024,20,47973476.0
DZA,M,2024,21,391774892.0
DZA,M,2024,22,3897388.0
DZA,M,2024,23,329801990.0
DZA,M,2024,24,372861043.0
DZA,M,2024,25,189518537.0
DZA,M,2024,26,1066951795.0
DZA,M,2024,27,589027658.0
DZA,M,2024,28,264139754.0
DZA,M,2024,29,834246467.0
DZA,M,2024,30,1970323880.0
DZA,M,2024,31,221786631.0
DZA,M,2024,32,383817779.0
DZA,M,2024,33,296675515.0
DZA,M,2024,34,218067990.0
DZA,M,2024,35,147799052.0
DZA,M,2024,36,6446805.0
DZA,M,2024,37,22911408.0
DZA,M,2024,38,859794294.0
DZA,M,2024,39,3106475074.0
DZA,M,2024,40,485672279.0
DZA,M,2024,41,1072938.0
DZA,M,2024,42,73361676.0
DZA,M,2024,43,279201.0
DZA,M,2024,44,624371286.0
DZA,M,2024,45,732191.0
DZA,M,2024,46,1384452.0
DZA,M,2024,47,98102539.0
DZA,M,2024,48,919389654.0
DZA,M,2024,49,32219019.0
DZA,M,2024,50,157705.0
DZA,M,2024,51,895186.0
DZA,M,2024,52,61531581.0
DZA,M,2024,53,16529088.0
DZA,M,2024,54,461429583.0
DZA,M,2024,55,111026908.0
DZA,M,2024,56,153294322.0
DZA,M,2024,57,35400597.0
DZA,M,2024,58,43763084.0
DZA,M,2024,59,31441268.0
DZA,M,2024,60,109822979.0
DZA,M,2024,61,186976845.0
DZA,M,2024,62,169990494.0
DZA,M,2024,63,42288259.0
DZA,M,2024,64,266640184.0
DZA,M,2024,65,9062502.0
DZA,M,2024,66,7189480.0
DZA,M,2024,67,2093529.0
DZA,M,2024,68,91086861.0
DZA,M,2024,69,125576435.0
DZA,M,2024,70,288295098.0
DZA,M,2024,71,26040175.0
DZA,M,2024,72,1776493133.0
DZA,M,2024,73,1479448985.0
DZA,M,2024,74,335060534.0
DZA,M,2024,75,4366885.0
DZA,M,2024,76,613538337.0
DZA,M,2024,78,6380585.0
DZA,M,2024,79,34385018.0
DZA,M,2024,80,3804999.0
DZA,M,2024,81,2607841.0
DZA,M,2024,82,162618011.0
DZA,M,2024,83,232254412.0
DZA,M,2024,84,6636041768.0
DZA,M,2024,85,3161587546.0
DZA,M,2024,86,15673695.0
DZA,M,2024,87,2951455791.0
DZA,M,2024,88,451595084.0
DZA,M,2024,89,13641130.0
DZA,M,2024,90,940948917.0
DZA,M,2024,91,11566430.0
DZA,M,2024,92,487851.0
DZA,M,2024,94,233555503.0
DZA,M,2024,95,61694179.0
DZA,M,2024,96,107772526.0
DZA,X,2024,02,2382259.515
DZA,X,2024,03,12759087.879
DZA,X,2024,04,726766.78
DZA,X,2024,05,17420.007
DZA,X,2024,06,8974.813
DZA,X,2024,07,2873083.319
