reporter_code,flow,year,partner_comtrade_code,partner_code,value_usd
DZA,X,2024,4,AFG,15870.525
DZA,X,2024,8,,73657994.039
DZA,X,2024,20,,134852.711
DZA,X,2024,24,,1234826.559
DZA,X,2024,31,,422304.294
DZA,X,2024,32,,93272181.975
DZA,X,2024,36,,80791707.928
DZA,X,2024,40,,538731.967
DZA,X,2024,44,,56392532.52
DZA,X,2024,48,BHR,677989.238
DZA,X,2024,50,BGD,33191064.878
DZA,X,2024,56,,1458906153.292
DZA,X,2024,70,,67806.708
DZA,X,2024,76,,1319036624.988
DZA,X,2024,100,,31140986.147
DZA,X,2024,112,,107120.141
DZA,X,2024,116,,70922.809
DZA,X,2024,120,,2279485.466
DZA,X,2024,124,,323351424.33
DZA,X,2024,144,LKA,73242.41
DZA,X,2024,148,,651340.824
DZA,X,2024,152,,10167107.612
DZA,X,2024,156,,1987064772.979
DZA,X,2024,170,,48245953.319
DZA,X,2024,174,,5221.895
DZA,X,2024,178,,2172901157.895
DZA,X,2024,188,,127.065
DZA,X,2024,191,,173698410.602
DZA,X,2024,192,,47087842.122
DZA,X,2024,196,,57830636.448
DZA,X,2024,203,,609443.915
DZA,X,2024,204,,6518326.562
DZA,X,2024,208,,321238.156
DZA,X,2024,214,,9536092.014
DZA,X,2024,218,,195358.602
DZA,X,2024,222,,32110.003
DZA,X,2024,226,,3981628.918
DZA,X,2024,233,,41068.113
DZA,X,2024,246,,4953693.042
DZA,X,2024,251,,7565152815.413
DZA,X,2024,262,DJI,147713.73
DZA,X,2024,266,,2657155.947
DZA,X,2024,268,,90333.751
DZA,X,2024,270,,5469141.515
DZA,X,2024,276,,228691993.744
DZA,X,2024,288,,29824979.909
DZA,X,2024,300,,240734721.226
DZA,X,2024,320,,126734.17
DZA,X,2024,324,,63162681.261
DZA,X,2024,344,,1867836.068
DZA,X,2024,348,,2189.761
DZA,X,2024,352,,104172.75
DZA,X,2024,360,,605924273.502
DZA,X,2024,364,IRN,3178.365
DZA,X,2024,368,IRQ,16750844.827
DZA,X,2024,372,,77452222.007
DZA,X,2024,380,,12435692363.447
DZA,X,2024,384,,68800843.807
DZA,X,2024,388,,30536.909
DZA,X,2024,392,,163482949.264
DZA,X,2024,398,,521241.809
DZA,X,2024,400,JOR,4871662.783
DZA,X,2024,404,,54025408.489
DZA,X,2024,414,KWT,114992.431
DZA,X,2024,422,LBN,71620853.773
DZA,X,2024,428,,77242777.662
DZA,X,2024,430,,4.976
DZA,X,2024,434,LBY,137283784.207
DZA,X,2024,440,,413313729.126
DZA,X,2024,442,,2873.743
DZA,X,2024,450,,233895.843
DZA,X,2024,458,,28632058.792
DZA,X,2024,466,,2746525.773
DZA,X,2024,470,,145547659.849
DZA,X,2024,478,,56000264.573
DZA,X,2024,480,,225250.935
DZA,X,2024,484,,22760828.258
DZA,X,2024,490,,65191.221
DZA,X,2024,499,,20904.636
DZA,X,2024,504,MAR,34919049.39
DZA,X,2024,508,,59411.103
DZA,X,2024,512,OMN,718900.123
DZA,X,2024,528,,2409825292.026
DZA,X,2024,554,,1001411.522
DZA,X,2024,562,,20269761.289
DZA,X,2024,566,,14390105.011
DZA,X,2024,579,,40488284.635
