reporter_code,flow,year,partner_comtrade_code,partner_code,value_usd
IND,M,2025,4,AFG,718951375.765
IND,M,2025,8,,4775362.084
IND,M,2025,10,,1328182.198
IND,M,2025,12,DZA,508653196.819
IND,M,2025,16,,37760.316
IND,M,2025,20,,71103.253
IND,M,2025,24,,6248646860.547
IND,M,2025,28,,398372.239
IND,M,2025,31,,283109593.436
IND,M,2025,32,,5229766091.986
IND,M,2025,36,,15959731811.913
IND,M,2025,40,,1572208211.165
IND,M,2025,44,,6041350.282
IND,M,2025,48,BHR,704892666.84
IND,M,2025,50,BGD,1733517713.389
IND,M,2025,51,,108517370.456
IND,M,2025,52,,1931378.897
IND,M,2025,56,,2280840515.918
IND,M,2025,60,,137862.767
IND,M,2025,64,BTN,791930886.718
IND,M,2025,68,,884541445.152
IND,M,2025,70,,8730276.192
IND,M,2025,72,,2224960744.438
IND,M,2025,76,,7683500468.771
IND,M,2025,84,,404610.407
IND,M,2025,90,,4159315.141
IND,M,2025,92,,54568.154
IND,M,2025,96,,266849657.768
IND,M,2025,100,,192050736.488
IND,M,2025,104,,1259340331.017
IND,M,2025,108,,1361107.905
IND,M,2025,112,,67963229.807
IND,M,2025,116,,193795335.489
IND,M,2025,120,,214223918.137
IND,M,2025,124,,6356383984.547
IND,M,2025,132,,6014387.157
IND,M,2025,140,,139579939.589
IND,M,2025,144,LKA,1138316364.54
IND,M,2025,148,,48475453.74
IND,M,2025,152,,3960889018.122
IND,M,2025,156,,149494920196.202
IND,M,2025,170,,2815047688.252
IND,M,2025,174,,32110819.17
IND,M,2025,178,,810670371.579
IND,M,2025,180,,791226064.302
IND,M,2025,188,,227621498.448
IND,M,2025,191,,57051869.051
IND,M,2025,192,,4932144.64
IND,M,2025,196,,40873852.933
IND,M,2025,203,,1398864316.935
IND,M,2025,204,,115460370.022
IND,M,2025,208,,969481437.797
IND,M,2025,212,,357144.816
IND,M,2025,214,,1710348255.394
IND,M,2025,218,,154009155.81
IND,M,2025,222,,8782026.912
IND,M,2025,226,,97358870.535
IND,M,2025,231,ETH,223249151.965
IND,M,2025,233,,135556988.846
IND,M,2025,234,,2453.392
IND,M,2025,242,,1655209.11
IND,M,2025,246,,1095710517.732
IND,M,2025,251,,7658291807.394
IND,M,2025,258,,674591.302
IND,M,2025,262,DJI,4874582.69
IND,M,2025,266,,736546074.062
IND,M,2025,268,,74611247.824
IND,M,2025,270,,67356320.73
IND,M,2025,275,PSE,488413.732
IND,M,2025,276,,20369973638.252
IND,M,2025,288,,5203325524.002
IND,M,2025,292,,205.697
IND,M,2025,300,,225706090.827
IND,M,2025,304,,956.62
IND,M,2025,308,,541281.612
IND,M,2025,320,,68251925.659
IND,M,2025,324,,1148841606.317
IND,M,2025,328,,8743853.264
IND,M,2025,332,,15327204.064
IND,M,2025,336,,43118.668
IND,M,2025,340,,87360691.018
IND,M,2025,344,,4382802859.633
IND,M,2025,348,,1579087818.29
IND,M,2025,352,,11257175.898
IND,M,2025,360,,21213097622.402
IND,M,2025,364,IRN,931112016.378
IND,M,2025,368,IRQ,27290960386.962
IND,M,2025,372,,1190863467.637
IND,M,2025,376,ISR,1246731326.246
IND,M,2025,380,,6894121384.544
IND,M,2025,384,,647535433.612
IND,M,2025,388,,11257401.183
IND,M,2025,392,,22176903023.638
IND,M,2025,398,,739639773.708
IND,M,2025,400,JOR,1845623550.504
IND,M,2025,404,,154944221.805
IND,M,2025,408,,3153686.746
IND,M,2025,410,,23063364603.798
IND,M,2025,414,KWT,9011492791.657
IND,M,2025,417,,22109821.195
IND,M,2025,418,,148121090.551
IND,M,2025,422,LBN,83499877.713
IND,M,2025,426,,59480013.667
IND,M,2025,428,,81975256.106
IND,M,2025,430,,36420862.67
IND,M,2025,434,LBY,650596687.722
IND,M,2025,440,,115241069.343
IND,M,2025,442,,95124319.465
IND,M,2025,446,,9831053.297
IND,M,2025,450,,169188767.316
IND,M,2025,454,,52004037.405
IND,M,2025,458,,12424107033.551
IND,M,2025,462,MDV,172835161.603
IND,M,2025,466,,318007782.367
IND,M,2025,470,,33755421.08
IND,M,2025,478,,70850631.781
IND,M,2025,480,,47042998.562
IND,M,2025,484,,4233748827.014
IND,M,2025,490,,13246953824.195
IND,M,2025,496,,2464932.548
IND,M,2025,498,,641578.041
IND,M,2025,499,,1325434.652
IND,M,2025,504,MAR,2832344648.847
IND,M,2025,508,,2103756233.389
IND,M,2025,512,OMN,5554262952.522
IND,M,2025,516,,325372317.807
IND,M,2025,520,,1711727.648
IND,M,2025,524,NPL,1987408938.243
IND,M,2025,528,,3095144017.255
IND,M,2025,531,,1920329.615
IND,M,2025,533,,1272283.655
IND,M,2025,540,,52849941.815
IND,M,2025,548,,936577.229
IND,M,2025,554,,578986089.552
IND,M,2025,558,,9420502.953
IND,M,2025,562,,4701819.795
IND,M,2025,566,,5740540068.629
IND,M,2025,574,,151516.294
IND,M,2025,579,,1122258007.019
IND,M,2025,580,,413736.008
IND,M,2025,581,,1689488.765
IND,M,2025,583,,19310.025
IND,M,2025,584,,12209643.89
IND,M,2025,585,,829.363
IND,M,2025,586,PAK,3726123.201
IND,M,2025,591,,327817398.092
IND,M,2025,598,,633032275.822
IND,M,2025,600,,134612893.56
IND,M,2025,604,,6690144004.44
IND,M,2025,608,,1868876888.46
IND,M,2025,616,,1508293015.941
IND,M,2025,620,,246081207.466
IND,M,2025,624,,273804958.994
IND,M,2025,626,,201158.723
IND,M,2025,634,QAT,12865373714.825
IND,M,2025,642,,445697088.674
IND,M,2025,643,,62865355053.399
IND,M,2025,646,,25104168.471
IND,M,2025,654,,9384.896
IND,M,2025,659,,203562.753
IND,M,2025,660,,37389.093
IND,M,2025,662,,1977821.924
IND,M,2025,670,,3916.933
IND,M,2025,674,,421852.771
IND,M,2025,678,,14408.467
IND,M,2025,682,SAU,31256752173.663
IND,M,2025,686,,846159810.137
IND,M,2025,688,,39964463.998
IND,M,2025,690,,355124785.254
IND,M,2025,694,,47370486.129
IND,M,2025,699,IND,7120376303.914
IND,M,2025,702,,8333332008.773
IND,M,2025,703,,294562610.84
IND,M,2025,704,,12384752316.239
IND,M,2025,705,,186570231.974
IND,M,2025,706,SOM,38863726.377
IND,M,2025,710,,8516770454.847
IND,M,2025,716,,78437462.759
IND,M,2025,724,,2147402367.049
IND,M,2025,728,SSD,41225776.252
IND,M,2025,729,SDN,126183825.868
IND,M,2025,740,,26457164.04
IND,M,2025,748,,30607007.386
IND,M,2025,752,,2599399525.53
IND,M,2025,757,,17999924441.221
IND,M,2025,760,SYR,33157382.716
