country_code,country,indicator,year,value
DZA,Algeria,current_account_pct_gdp,2024,-1.0224994485325
DZA,Algeria,current_account_pct_gdp,2023,2.62033732399996
DZA,Algeria,current_account_pct_gdp,2022,8.62297009518782
DZA,Algeria,current_account_pct_gdp,2021,-2.42326388144806
DZA,Algeria,current_account_pct_gdp,2020,-11.0309095376359
DZA,Algeria,current_account_pct_gdp,2019,-8.76373598794008
DZA,Algeria,current_account_pct_gdp,2018,-8.68941296193564
DZA,Algeria,current_account_pct_gdp,2017,-11.6217683736912
DZA,Algeria,current_account_pct_gdp,2016,-14.4962877563746
DZA,Algeria,current_account_pct_gdp,2015,-14.4205446442816
DZA,Algeria,current_account_pct_gdp,2014,-3.8772158836163
DZA,Algeria,current_account_pct_gdp,2013,0.517147116303439
DZA,Algeria,current_account_pct_gdp,2012,5.3237110694236
DZA,Algeria,current_account_pct_gdp,2011,8.09495300569721
DZA,Algeria,current_account_pct_gdp,2010,6.87361929280343
DZA,Algeria,reserves_months_imports,2024,16.5279389774711
DZA,Algeria,reserves_months_imports,2023,17.0452476814619
DZA,Algeria,reserves_months_imports,2022,16.336474497122
DZA,Algeria,reserves_months_imports,2021,13.7665681887564
DZA,Algeria,reserves_months_imports,2020,15.4414562891346
DZA,Algeria,reserves_months_imports,2019,14.4665752336272
DZA,Algeria,reserves_months_imports,2018,15.926933826264
DZA,Algeria,reserves_months_imports,2017,19.3716083235174
DZA,Algeria,reserves_months_imports,2016,22.5792566104525
DZA,Algeria,reserves_months_imports,2015,25.8569065523585
DZA,Algeria,reserves_months_imports,2014,28.1922504423476
DZA,Algeria,reserves_months_imports,2013,32.7812904978346
DZA,Algeria,reserves_months_imports,2012,34.3073971199894
DZA,Algeria,reserves_months_imports,2011,34.8238177143754
DZA,Algeria,reserves_months_imports,2010,36.7819414773254
DZA,Algeria,gdp_growth,2025,3.815543719231
DZA,Algeria,gdp_growth,2024,3.69999999907979
DZA,Algeria,gdp_growth,2023,4.10000000005964
DZA,Algeria,gdp_growth,2022,3.60000000094915
DZA,Algeria,gdp_growth,2021,3.79999999900707
DZA,Algeria,gdp_growth,2020,-4.99999999908597
DZA,Algeria,gdp_growth,2019,0.899999999219148
DZA,Algeria,gdp_growth,2018,1.40000000088281
DZA,Algeria,gdp_growth,2017,1.49999999895587
DZA,Algeria,gdp_growth,2016,3.90000000017621
DZA,Algeria,gdp_growth,2015,3.20000000089023
DZA,Algeria,gdp_growth,2014,4.09999999866501
DZA,Algeria,gdp_growth,2013,2.60000000061164
DZA,Algeria,gdp_growth,2012,2.40000000034432
DZA,Algeria,gdp_growth,2011,2.99999999941909
DZA,Algeria,gdp_growth,2010,4.80000000093564
DZA,Algeria,inflation,2025,1.41835151429016
DZA,Algeria,inflation,2024,4.04611455313434
DZA,Algeria,inflation,2023,9.32217375928322
DZA,Algeria,inflation,2022,9.26551551551553
DZA,Algeria,inflation,2021,7.22606307415477
DZA,Algeria,inflation,2020,2.41513094083414
DZA,Algeria,inflation,2019,1.95176821052892
DZA,Algeria,inflation,2018,4.26999020467084
DZA,Algeria,inflation,2017,5.59111590961664
DZA,Algeria,inflation,2016,6.39769480268757
DZA,Algeria,inflation,2015,4.78444700693889
DZA,Algeria,inflation,2014,2.91692692067458
DZA,Algeria,inflation,2013,3.25423910998847
DZA,Algeria,inflation,2012,8.89145091062317
DZA,Algeria,inflation,2011,4.5242115050527
DZA,Algeria,inflation,2010,3.91106195534028
DZA,Algeria,political_stability,2024,-0.6935882
DZA,Algeria,political_stability,2023,-0.7317401
DZA,Algeria,political_stability,2022,-0.8074555
DZA,Algeria,political_stability,2021,-0.9009933
DZA,Algeria,political_stability,2020,-0.883733299999999
DZA,Algeria,political_stability,2019,-1.06252749999999
DZA,Algeria,political_stability,2018,-0.6370211
DZA,Algeria,political_stability,2017,-0.929504599999999
DZA,Algeria,political_stability,2016,-1.12458449999999
DZA,Algeria,political_stability,2015,-1.049624
DZA,Algeria,political_stability,2014,-1.1769102
DZA,Algeria,political_stability,2013,-1.3382043
DZA,Algeria,political_stability,2012,-1.2861441
DZA,Algeria,political_stability,2011,-1.43622689999999
DZA,Algeria,political_stability,2010,-1.31766989999999
DZA,Algeria,government_effectiveness,2024,-0.2511914
DZA,Algeria,government_effectiveness,2023,-0.355560999999999
DZA,Algeria,government_effectiveness,2022,-0.2671351
DZA,Algeria,government_effectiveness,2021,-0.4641151
DZA,Algeria,government_effectiveness,2020,-0.2693237
DZA,Algeria,government_effectiveness,2019,-0.315897
DZA,Algeria,government_effectiveness,2018,-0.2892145
DZA,Algeria,government_effectiveness,2017,-0.5231578
DZA,Algeria,government_effectiveness,2016,-0.4244363
DZA,Algeria,government_effectiveness,2015,-0.3555636
DZA,Algeria,government_effectiveness,2014,-0.3152327
DZA,Algeria,government_effectiveness,2013,-0.5509556
DZA,Algeria,government_effectiveness,2012,-0.659519699999999
DZA,Algeria,government_effectiveness,2011,-0.722398099999999
DZA,Algeria,government_effectiveness,2010,-0.6027467
DZA,Algeria,rule_of_law,2024,-0.6967772
DZA,Algeria,rule_of_law,2023,-0.7329544
DZA,Algeria,rule_of_law,2022,-0.798385
DZA,Algeria,rule_of_law,2021,-0.7553319
DZA,Algeria,rule_of_law,2020,-0.7746944
DZA,Algeria,rule_of_law,2019,-0.845730299999999
DZA,Algeria,rule_of_law,2018,-0.853582899999999
DZA,Algeria,rule_of_law,2017,-0.8676221
DZA,Algeria,rule_of_law,2016,-0.860594099999999
DZA,Algeria,rule_of_law,2015,-0.8774318
DZA,Algeria,rule_of_law,2014,-0.836116699999999
DZA,Algeria,rule_of_law,2013,-0.7149392
DZA,Algeria,rule_of_law,2012,-0.820280599999999
DZA,Algeria,rule_of_law,2011,-0.833268
DZA,Algeria,rule_of_law,2010,-0.7700849
DZA,Algeria,regulatory_quality,2024,-0.7526468
DZA,Algeria,regulatory_quality,2023,-0.7856434
DZA,Algeria,regulatory_quality,2022,-0.8782506
DZA,Algeria,regulatory_quality,2021,-0.9720042
DZA,Algeria,regulatory_quality,2020,-1.08103289999999
DZA,Algeria,regulatory_quality,2019,-1.1291834
DZA,Algeria,regulatory_quality,2018,-1.0402376
DZA,Algeria,regulatory_quality,2017,-0.945913999999999
DZA,Algeria,regulatory_quality,2016,-0.9245888
DZA,Algeria,regulatory_quality,2015,-0.910741399999999
DZA,Algeria,regulatory_quality,2014,-1.0284052
DZA,Algeria,regulatory_quality,2013,-0.799061399999999
DZA,Algeria,regulatory_quality,2012,-1.088001
DZA,Algeria,regulatory_quality,2011,-1.13479399999999
DZA,Algeria,regulatory_quality,2010,-0.9696248
DZA,Algeria,control_of_corruption,2024,-0.5933952
DZA,Algeria,control_of_corruption,2023,-0.6397452
DZA,Algeria,control_of_corruption,2022,-0.6430769
DZA,Algeria,control_of_corruption,2021,-0.6509952
DZA,Algeria,control_of_corruption,2020,-0.635634599999999
DZA,Algeria,control_of_corruption,2019,-0.620545999999999
DZA,Algeria,control_of_corruption,2018,-0.538513599999999
DZA,Algeria,control_of_corruption,2017,-0.5404682
DZA,Algeria,control_of_corruption,2016,-0.6412808
DZA,Algeria,control_of_corruption,2015,-0.6299526
DZA,Algeria,control_of_corruption,2014,-0.6220502
DZA,Algeria,control_of_corruption,2013,-0.4058013
DZA,Algeria,control_of_corruption,2012,-0.453743099999999
DZA,Algeria,control_of_corruption,2011,-0.4094732
DZA,Algeria,control_of_corruption,2010,-0.3918564
DZA,Algeria,fdi_net_inflows_pct_gdp,2024,0.455370730483787
DZA,Algeria,fdi_net_inflows_pct_gdp,2023,0.489819143410423
DZA,Algeria,fdi_net_inflows_pct_gdp,2022,0.107187812155079
DZA,Algeria,fdi_net_inflows_pct_gdp,2021,0.466728479682941
DZA,Algeria,fdi_net_inflows_pct_gdp,2020,0.693816014772836
DZA,Algeria,fdi_net_inflows_pct_gdp,2019,0.713947308015691
DZA,Algeria,fdi_net_inflows_pct_gdp,2018,0.753576088552125
DZA,Algeria,fdi_net_inflows_pct_gdp,2017,0.647902696344894
DZA,Algeria,fdi_net_inflows_pct_gdp,2016,0.906300705997455
DZA,Algeria,fdi_net_inflows_pct_gdp,2015,-0.286832290676438
DZA,Algeria,fdi_net_inflows_pct_gdp,2014,0.628688968391006
DZA,Algeria,fdi_net_inflows_pct_gdp,2013,0.736559065111634
DZA,Algeria,fdi_net_inflows_pct_gdp,2012,0.660551953898791
DZA,Algeria,fdi_net_inflows_pct_gdp,2011,1.17767329101171
DZA,Algeria,fdi_net_inflows_pct_gdp,2010,1.29390467487817
DZA,Algeria,exports_pct_gdp,2025,16.8347751595565
DZA,Algeria,exports_pct_gdp,2024,19.8523800653814
DZA,Algeria,exports_pct_gdp,2023,23.7900604738163
DZA,Algeria,exports_pct_gdp,2022,30.7915561763341
DZA,Algeria,exports_pct_gdp,2021,23.4443672905951
DZA,Algeria,exports_pct_gdp,2020,15.5352011116191
DZA,Algeria,exports_pct_gdp,2019,20.407941949491
DZA,Algeria,exports_pct_gdp,2018,23.423105738908
DZA,Algeria,exports_pct_gdp,2017,20.3336795171675
DZA,Algeria,exports_pct_gdp,2016,18.4866879717888
DZA,Algeria,exports_pct_gdp,2015,20.5281416810455
DZA,Algeria,exports_pct_gdp,2014,27.6194863705878
DZA,Algeria,exports_pct_gdp,2013,30.7993649290893
DZA,Algeria,exports_pct_gdp,2012,34.3827920015035
DZA,Algeria,exports_pct_gdp,2011,35.9880864093259
DZA,Algeria,exports_pct_gdp,2010,34.988229614912
DZA,Algeria,imports_pct_gdp,2025,22.1441688566065
DZA,Algeria,imports_pct_gdp,2024,20.2821940516889
DZA,Algeria,imports_pct_gdp,2023,19.9497379768844
DZA,Algeria,imports_pct_gdp,2022,20.3985331920556
DZA,Algeria,imports_pct_gdp,2021,23.3926919693657
